Data,Hora,ID_Sensor,Local,Temperatura,Umidade,Status
2026-04-01,08:00:00,SNSR-01,DataCenter,22.5,60.0,OK
2026-04-01,08:05:00,SNSR-02,Armazem,27.3,55.2,ERRO
2026-04-01,08:10:00,SNSR-03,Laboratorio,24.8,70.1,OK
2026-04-01,08:15:00,SNSR-01,DataCenter,26.1,58.3,CRITICO_TEMP
2026-04-01,08:20:00,SNSR-04,Armazem,30.5,50.0,ERRO
2026-04-01,08:25:00,SNSR-02,Laboratorio,23.9,65.0,OK
2026-04-01,08:30:00,SNSR-01,DataCenter,21.0,62.5,OK
2026-04-01,08:35:00,SNSR-03,Armazem,28.7,48.2,CRITICO_TEMP
2026-04-01,08:40:00,SNSR-04,DataCenter,25.5,57.0,OK
2026-04-01,08:45:00,SNSR-02,Armazem,26.8,52.4,ERRO
